Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Black Water,The Doobie Brothers,1974,Black Water by The Doobie Brothers,1,1,57,57
Dancing In the Street,Van Halen,1982,Dancing In the Street by Van Halen,1,1,57,57
Money for Nothing,Dire Straits,1985,Money for Nothing by Dire Straits,1,1,56,56
Breakfast in America,Supertramp,1979,Breakfast in America by Supertramp,1,1,56,56
Love Her Madly,The Doors,1971,Love Her Madly by The Doors,1,1,56,56
Won't Get Fooled Again,The Who,1971,Won't Get Fooled Again by The Who,1,1,56,56
Small Town,John Mellencamp,1985,Small Town by John Mellencamp,1,1,55,55
"Rock And Roll, Hoochie Koo",Rick Derringer,1974,"Rock And Roll, Hoochie Koo by Rick Derringer",1,1,55,55
Revolution,The Beatles,1968,Revolution by The Beatles,1,1,55,55
Long Train Runnin',The Doobie Brothers,1973,Long Train Runnin' by The Doobie Brothers,1,1,55,55
Brown Eyed Girl,Van Morrison,1967,Brown Eyed Girl by Van Morrison,1,1,55,55
The Ocean,Led Zeppelin,1973,The Ocean by Led Zeppelin,1,1,54,54
Pinball Wizard,The Who,1969,Pinball Wizard by The Who,1,1,54,54
Sunday Bloody Sunday,U2,1983,Sunday Bloody Sunday by U2,1,1,54,54
Dreams,Fleetwood Mac,1977,Dreams by Fleetwood Mac,1,1,53,53
Locomotive Breath,Jethro Tull,1971,Locomotive Breath by Jethro Tull,1,1,53,53
Hair Of The Dog,Nazareth,1975,Hair Of The Dog by Nazareth,1,1,53,53
Maybe I'm Amazed,Paul McCartney & Wings,1970,Maybe I'm Amazed by Paul McCartney & Wings,1,1,53,53
Born to Be Wild,Steppenwolf,1968,Born to Be Wild by Steppenwolf,1,1,53,53
Moving In Stereo,The Cars,1978,Moving In Stereo by The Cars,1,1,53,53
People Are Strange,The Doors,1967,People Are Strange by The Doors,1,1,53,53
I Still Haven't Found What I'm Looking For,U2,1987,I Still Haven't Found What I'm Looking For by U2,1,1,53,53
Summer Of '69,Bryan Adams,1984,Summer Of '69 by Bryan Adams,1,1,52,52
Lunatic Fringe,Red Rider,1981,Lunatic Fringe by Red Rider,1,1,52,52
Get Back,The Beatles,1969,Get Back by The Beatles,1,1,52,52
Break On Through,The Doors,1967,Break On Through by The Doors,1,1,52,52
Can't You See,The Marshall Tucker Band,1973,Can't You See by The Marshall Tucker Band,1,1,52,52
Hot for Teacher,Van Halen,1984,Hot for Teacher by Van Halen,1,1,52,52
Werewolves of London,Warren Zevon,1978,Werewolves of London by Warren Zevon,1,1,52,52
Tiny Dancer,Elton John,1971,Tiny Dancer by Elton John,1,1,51,51
Hey Joe,Jimi Hendrix,1966,Hey Joe by Jimi Hendrix,1,1,51,51
Love Me Two Times,The Doors,1967,Love Me Two Times by The Doors,1,1,51,51
Brass In Pocket,The Pretenders,1980,Brass In Pocket by The Pretenders,1,1,51,51
Mary Jane's Last Dance,Tom Petty & The Heartbreakers,1993,Mary Jane's Last Dance by Tom Petty & The Heartbreakers,1,1,51,51
The Long Run,Eagles,1979,The Long Run by Eagles,1,1,50,50
Don't Stop,Fleetwood Mac,1977,Don't Stop by Fleetwood Mac,1,1,50,50
Foxey Lady,Jimi Hendrix,1967,Foxey Lady by Jimi Hendrix,1,1,50,50
Band on the Run,Paul McCartney & Wings,1973,Band on the Run by Paul McCartney & Wings,1,1,50,50
My Generation,The Who,1965,My Generation by The Who,1,1,50,50
The Break Up Song,Greg Kihn Band,1981,The Break Up Song by Greg Kihn Band,1,1,49,49
Maggie May,Rod Stewart,1971,Maggie May by Rod Stewart,1,1,49,49
Light My Fire,The Doors,1967,Light My Fire by The Doors,1,1,49,49
Roadhouse Blues,The Doors,1967,Roadhouse Blues by The Doors,1,1,49,49
Don't Come Around Here No More,Tom Petty & The Heartbreakers,1985,Don't Come Around Here No More by Tom Petty & The Heartbreakers,1,1,49,49
With Or Without You,U2,1987,With Or Without You by U2,1,1,49,49
