Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Summer In the City,The Lovin' Spoonful,1966,Summer In the City by The Lovin' Spoonful,1,1,2,2
Question,The Moody Blues,1970,Question by The Moody Blues,1,1,2,2
Invisible Sun,The Police,1981,Invisible Sun by The Police,1,1,2,2
End of the Line,The Traveling Wilburys,1988,End of the Line by The Traveling Wilburys,1,1,2,2
Talk To Ya Later,The Tubes,1981,Talk To Ya Later by The Tubes,1,1,2,2
One Headlight,The Wallflowers,1996,One Headlight by The Wallflowers,1,1,2,2
Happy Jack,The Who,1966,Happy Jack by The Who,1,1,2,2
The Kids Are Alright,The Who,1965,The Kids Are Alright by The Who,1,1,2,2
Get Together,The Youngbloods,2005,Get Together by The Youngbloods,1,1,2,2
I Saw the Light,Todd Rundgren,1972,I Saw the Light by Todd Rundgren,1,1,2,2
A Woman In Love,Tom Petty & The Heartbreakers,1981,A Woman In Love by Tom Petty & The Heartbreakers,1,1,2,2
Jammin' Me,Tom Petty & The Heartbreakers,1987,Jammin' Me by Tom Petty & The Heartbreakers,1,1,2,2
Stop Draggin' My Heart Around,Tom Petty & The Heartbreakers,1981,Stop Draggin' My Heart Around by Tom Petty & The Heartbreakers,1,1,2,2
AFRICA,Toto,1982,AFRICA by Toto,1,1,2,2
Red Red Wine,UB40,1983,Red Red Wine by UB40,1,1,2,2
Stealin',Uriah Heep,1973,Stealin' by Uriah Heep,1,1,2,2
Spill the Wine,War,1970,Spill the Wine by War,1,1,2,2
Buddy Holly,Weezer,1994,Buddy Holly by Weezer,1,1,2,2
Heard It On the X,ZZ Top,1975,Heard It On the X by ZZ Top,1,1,2,2
WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO,ZZ Top,1973,WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO by ZZ Top,1,1,2,2
Art For Arts Sake,10cc,1975,Art For Arts Sake by 10cc,1,1,1,1
Loser,3 Doors Down,2000,Loser by 3 Doors Down,1,1,1,1
Take On Me,a-ha,1985,Take On Me by a-ha,1,1,1,1
Hard As A Rock,AC/DC,1995,Hard As A Rock by AC/DC,1,1,1,1
Jailbreak,AC/DC,1984,Jailbreak by AC/DC,1,1,1,1
Night Prowler,AC/DC,1979,Night Prowler by AC/DC,1,1,1,1
How Long,Ace,1974,How Long by Ace,1,1,1,1
Draw The Line,Aerosmith,1977,Draw The Line by Aerosmith,1,1,1,1
Jaded,Aerosmith,2001,Jaded by Aerosmith,1,1,1,1
Let the Music Do the Talking,Aerosmith,1985,Let the Music Do the Talking by Aerosmith,1,1,1,1
Pink,Aerosmith,1997,Pink by Aerosmith,1,1,1,1
Hand In My Pocket,Alanis Morissette,1995,Hand In My Pocket by Alanis Morissette,1,1,1,1
Black Velvet,Alannah Myles,1989,Black Velvet by Alannah Myles,1,1,1,1
Elected,Alice Cooper,1973,Elected by Alice Cooper,1,1,1,1
Down in a Hole,Alice In Chains,1992,Down in a Hole by Alice In Chains,1,1,1,1
Ain't Wastin' Time No More,Allman Brothers Band,1972,Ain't Wastin' Time No More by Allman Brothers Band,1,1,1,1
Blue Sky,Allman Brothers Band,1972,Blue Sky by Allman Brothers Band,1,1,1,1
In Memory Of Elizabeth Reed,Allman Brothers Band,1970,In Memory Of Elizabeth Reed by Allman Brothers Band,1,1,1,1
Ventura Highway,America,1972,Ventura Highway by America,1,1,1,1
Don't Bring Me Down,Animals II,1966,Don't Bring Me Down by Animals II,1,1,1,1
Don't Let Me Be Misunderstood,Animals II,1965,Don't Let Me Be Misunderstood by Animals II,1,1,1,1
So Into You,Atlanta Rhythm Section,1976,So Into You by Atlanta Rhythm Section,1,1,1,1
Like a Stone,Audioslave,2002,Like a Stone by Audioslave,1,1,1,1
Seagull,Bad Company,1974,Seagull by Bad Company,1,1,1,1
When I See You Smile,Bad English,1989,When I See You Smile by Bad English,1,1,1,1
Loser,Beck,1994,Loser by Beck,1,1,1,1
Rock Around the Clock,Bill Haley,1955,Rock Around the Clock by Bill Haley,1,1,1,1
AIN'T NO SUNSHINE,Bill Withers,1971,AIN'T NO SUNSHINE by Bill Withers,1,1,1,1
Allentown,Billy Joel,1982,Allentown by Billy Joel,1,1,1,1
Goodnight Saigon,Billy Joel,1983,Goodnight Saigon by Billy Joel,1,1,1,1
SHE'S ALWAYS A WOMAN,Billy Joel,1977,SHE'S ALWAYS A WOMAN by Billy Joel,1,1,1,1
Rock Me Tonight,Billy Squier,1984,Rock Me Tonight by Billy Squier,1,1,1,1
Fairies Wear Boots,Black Sabbath,1970,Fairies Wear Boots by Black Sabbath,1,1,1,1
Heaven and Hell,Black Sabbath,1980,Heaven and Hell by Black Sabbath,1,1,1,1
Neon Knights,Black Sabbath,1980,Neon Knights by Black Sabbath,1,1,1,1
The Wizard,Black Sabbath,1970,The Wizard by Black Sabbath,1,1,1,1
Presence of the Lord,Blind Faith,1969,Presence of the Lord by Blind Faith,1,1,1,1
All the Small Things,Blink-182,1999,All the Small Things by Blink-182,1,1,1,1
Just Like A Woman,Bob Dylan,1966,Just Like A Woman by Bob Dylan,1,1,1,1
Subterranean Homesick Blues,Bob Dylan,1965,Subterranean Homesick Blues by Bob Dylan,1,1,1,1
"No Woman, No Cry",Bob Marley,1975,"No Woman, No Cry by Bob Marley",1,1,1,1
Fire Down Below,Bob Seger,1977,Fire Down Below by Bob Seger,1,1,1,1
We've Got Tonite,Bob Seger,1978,We've Got Tonite by Bob Seger,1,1,1,1
Born To Be My Baby,Bon Jovi,1989,Born To Be My Baby by Bon Jovi,1,1,1,1
Lowdown,Boz Scaggs,1976,Lowdown by Boz Scaggs,1,1,1,1
Atlantic City,Bruce Springsteen,1982,Atlantic City by Bruce Springsteen,1,1,1,1
Backstreets,Bruce Springsteen,1975,Backstreets by Bruce Springsteen,1,1,1,1
Blinded By the Light,Bruce Springsteen,1973,Blinded By the Light by Bruce Springsteen,1,1,1,1
Cover Me,Bruce Springsteen,1984,Cover Me by Bruce Springsteen,1,1,1,1
Growin' Up,Bruce Springsteen,1973,Growin' Up by Bruce Springsteen,1,1,1,1
It's Hard to Be a Saint in the City,Bruce Springsteen,1973,It's Hard to Be a Saint in the City by Bruce Springsteen,1,1,1,1
Racing in the Streets,Bruce Springsteen,1978,Racing in the Streets by Bruce Springsteen,1,1,1,1
She's The One,Bruce Springsteen,1975,She's The One by Bruce Springsteen,1,1,1,1
Somebody,Bryan Adams,1984,Somebody by Bryan Adams,1,1,1,1
Sorry,Buckcherry,2007,Sorry by Buckcherry,1,1,1,1
Mr. Soul,Buffalo Springfield,1967,Mr. Soul by Buffalo Springfield,1,1,1,1
On the Road Again,Canned Heat,1968,On the Road Again by Canned Heat,1,1,1,1
IT'S TOO LATE,Carole King,1971,IT'S TOO LATE by Carole King,1,1,1,1
In America,Charlie Daniels Band,1980,In America by Charlie Daniels Band,1,1,1,1
The South's Gonna Do It Again,Charlie Daniels Band,1975,The South's Gonna Do It Again by Charlie Daniels Band,1,1,1,1
Make Me Smile,Chicago,1970,Make Me Smile by Chicago,1,1,1,1
Questions 67 and 68,Chicago,1969,Questions 67 and 68 by Chicago,1,1,1,1
Coming Home,Cinderella,1988,Coming Home by Cinderella,1,1,1,1
Gypsy Road,Cinderella,1988,Gypsy Road by Cinderella,1,1,1,1
Somebody Save Me,Cinderella,1986,Somebody Save Me by Cinderella,1,1,1,1
The World I Know,Collective Soul,1995,The World I Know by Collective Soul,1,1,1,1
I'm So Glad,Cream,1966,I'm So Glad by Cream,1,1,1,1
Tales Of Brave Ulysses,Cream,1967,Tales Of Brave Ulysses by Cream,1,1,1,1
With Arms Wide Open,Creed,1999,With Arms Wide Open by Creed,1,1,1,1
Sweet Hitch Hiker,Creedence Clearwater Revival,1971,Sweet Hitch Hiker by Creedence Clearwater Revival,1,1,1,1
Helplessly Hoping,"Crosby, Stills & Nash",1969,"Helplessly Hoping by Crosby, Stills & Nash",1,1,1,1
Long Time Gone,"Crosby, Stills & Nash",1969,"Long Time Gone by Crosby, Stills & Nash",1,1,1,1
High Enough,Damn Yankees,1990,High Enough by Damn Yankees,1,1,1,1
I HEAR YOU KNOCKING,Dave Edmunds,1970,I HEAR YOU KNOCKING by Dave Edmunds,1,1,1,1
We Just Disagree,Dave Mason,1977,We Just Disagree by Dave Mason,1,1,1,1
Welcome To The Boomtown,David & David,1986,Welcome To The Boomtown by David & David,1,1,1,1
Diamond Dogs,David Bowie,1974,Diamond Dogs by David Bowie,1,1,1,1
Starman,David Bowie,1972,Starman by David Bowie,1,1,1,1
Burn,Deep Purple,1974,Burn by Deep Purple,1,1,1,1
Child In Time,Deep Purple,1970,Child In Time by Deep Purple,1,1,1,1
Knocking At Your Backdoo,Deep Purple,1984,Knocking At Your Backdoo by Deep Purple,1,1,1,1
Lazy,Deep Purple,1972,Lazy by Deep Purple,1,1,1,1
Love Is Like A Rock,Donnie Iris,1981,Love Is Like A Rock by Donnie Iris,1,1,1,1
Season of the Witch,Donovan,1966,Season of the Witch by Donovan,1,1,1,1
Sunshine Superman,Donovan,1966,Sunshine Superman by Donovan,1,1,1,1
Rio,Duran Duran,1982,Rio by Duran Duran,1,1,1,1
CAN'T GET IT OUT OF MY HEAD,Electric Light Orchestra,1974,CAN'T GET IT OUT OF MY HEAD by Electric Light Orchestra,1,1,1,1
All The Girls Love Alice,Elton John,1973,All The Girls Love Alice by Elton John,1,1,1,1
Captain Fantastic,Elton John,1975,Captain Fantastic by Elton John,1,1,1,1
Don't Let The Sun Go Down On Me,Elton John,1974,Don't Let The Sun Go Down On Me by Elton John,1,1,1,1
Harmony,Elton John,1973,Harmony by Elton John,1,1,1,1
Madman Across The Water,Elton John,1971,Madman Across The Water by Elton John,1,1,1,1
THE BITCH IS BACK,Elton John,1974,THE BITCH IS BACK by Elton John,1,1,1,1
Where To Now St. Peter,Elton John,1970,Where To Now St. Peter by Elton John,1,1,1,1
Fooled around and Fell in Love,Elvin Bishop,1975,Fooled around and Fell in Love by Elvin Bishop,1,1,1,1
From the Beginning,"Emerson, Lake & Palmer",1972,"From the Beginning by Emerson, Lake & Palmer",1,1,1,1
Still You Turn Me On,"Emerson, Lake & Palmer",1973,"Still You Turn Me On by Emerson, Lake & Palmer",1,1,1,1
The Core,Eric Clapton,1977,The Core by Eric Clapton,1,1,1,1
More Than Words,Extreme,1991,More Than Words by Extreme,1,1,1,1
Ooh La La,Faces,1973,Ooh La La by Faces,1,1,1,1
House Of Pain,Faster Pussycat,1990,House Of Pain by Faster Pussycat,1,1,1,1
Hold Me,Fleetwood Mac,1982,Hold Me by Fleetwood Mac,1,1,1,1
Little Lies,Fleetwood Mac,1987,Little Lies by Fleetwood Mac,1,1,1,1
Never Going Back Again,Fleetwood Mac,1977,Never Going Back Again by Fleetwood Mac,1,1,1,1
Sara,Fleetwood Mac,1980,Sara by Fleetwood Mac,1,1,1,1
Best of You,Foo Fighters,2005,Best of You by Foo Fighters,1,1,1,1
The Pretender,Foo Fighters,2007,The Pretender by Foo Fighters,1,1,1,1
Times Like These,Foo Fighters,2002,Times Like These by Foo Fighters,1,1,1,1
Joe's Garage,Frank Zappa,1979,Joe's Garage by Frank Zappa,1,1,1,1
Wishing Well,Free,1973,Wishing Well by Free,1,1,1,1
Maggot Brain,Funkadelic,1971,Maggot Brain by Funkadelic,1,1,1,1
CARS,Gary Numan,1979,CARS by Gary Numan,1,1,1,1
A Trick of the Tail,Genesis,1976,A Trick of the Tail by Genesis,1,1,1,1
Home by the Sea/Second Home by the Sea,Genesis,1983,Home by the Sea/Second Home by the Sea by Genesis,1,1,1,1
Tonight Tonight (live),Genesis,1986,Tonight Tonight (live) by Genesis,1,1,1,1
GOT MY MIND SET ON YOU,George Harrison,1987,GOT MY MIND SET ON YOU by George Harrison,1,1,1,1
Found Out About You,Gin Blossoms,1993,Found Out About You by Gin Blossoms,1,1,1,1
Are You Receiving Me,Golden Earring,1973,Are You Receiving Me by Golden Earring,1,1,1,1
Bad Time,Grand Funk Railroad,1974,Bad Time by Grand Funk Railroad,1,1,1,1
Shinin' On,Grand Funk Railroad,1974,Shinin' On by Grand Funk Railroad,1,1,1,1
Brain Stew/Jaded,Green Day,1995,Brain Stew/Jaded by Green Day,1,1,1,1
THESE EYES,Guess Who,1969,THESE EYES by Guess Who,1,1,1,1
Civil War,Guns N' Roses,1991,Civil War by Guns N' Roses,1,1,1,1
Mr. Brownstone,Guns N' Roses,1987,Mr. Brownstone by Guns N' Roses,1,1,1,1
My Michelle,Guns N' Roses,1987,My Michelle by Guns N' Roses,1,1,1,1
Used To Love Her,Guns N' Roses,1988,Used To Love Her by Guns N' Roses,1,1,1,1
Axel F Theme,Harold Faltermeyer,1984,Axel F Theme by Harold Faltermeyer,1,1,1,1
W*O*L*D*,Harry Chapin,1974,W*O*L*D* by Harry Chapin,1,1,1,1
Grey Ghost,Henry Paul Band,1979,Grey Ghost by Henry Paul Band,1,1,1,1
The Passenger,Iggy Pop,1977,The Passenger by Iggy Pop,1,1,1,1
In A Gadda Da Vida,Iron Butterfly,1968,In A Gadda Da Vida by Iron Butterfly,1,1,1,1
Flight Of Icarus,Iron Maiden,1983,Flight Of Icarus by Iron Maiden,1,1,1,1
Redneck Friend,Jackson Browne,1973,Redneck Friend by Jackson Browne,1,1,1,1
The Road and the Sky,Jackson Browne,1977,The Road and the Sky by Jackson Browne,1,1,1,1
YOU'VE GOT A FRIEND,JAMES TAYLOR,1971,YOU'VE GOT A FRIEND by JAMES TAYLOR,1,1,1,1
Jane Says,Jane's Addiction,1988,Jane Says by Jane's Addiction,1,1,1,1
Get It While You Can,Janis Joplin,1971,Get It While You Can by Janis Joplin,1,1,1,1
Freeway Jam,Jeff Beck,1975,Freeway Jam by Jeff Beck,1,1,1,1
Are You Gonna Be My Girl,Jet,2003,Are You Gonna Be My Girl by Jet,1,1,1,1
TIME IN A BOTTLE,Jim Croce,1972,TIME IN A BOTTLE by Jim Croce,1,1,1,1
Angel,Jimi Hendrix,1971,Angel by Jimi Hendrix,1,1,1,1
Son of a Son of a Sailor,Jimmy Buffett,1978,Son of a Son of a Sailor by Jimmy Buffett,1,1,1,1
Bad Reputation,Joan Jett,1981,Bad Reputation by Joan Jett,1,1,1,1
Analog Man,Joe Walsh,2012,Analog Man by Joe Walsh,1,1,1,1
Woman,John Lennon,1980,Woman by John Lennon,1,1,1,1
Paper in Fire,John Mellencamp,1987,Paper in Fire by John Mellencamp,1,1,1,1
Rain On The Scarecrow,John Mellencamp,1985,Rain On The Scarecrow by John Mellencamp,1,1,1,1
Brickyard Road,Johnny Van Zant,1990,Brickyard Road by Johnny Van Zant,1,1,1,1
Roadrunner,Jonathan Richman,1977,Roadrunner by Jonathan Richman,1,1,1,1
Send Her My Love,Journey,1983,Send Her My Love by Journey,1,1,1,1
Electric Eye,Judas Priest,1982,Electric Eye by Judas Priest,1,1,1,1
The Ripper,Judas Priest,1976,The Ripper by Judas Priest,1,1,1,1
Play the Game Tonight,Kansas,1982,Play the Game Tonight by Kansas,1,1,1,1
Let's Ride,Kid Rock,2012,Let's Ride by Kid Rock,1,1,1,1
Sex On Fire,Kings of Leon,2008,Sex On Fire by Kings of Leon,1,1,1,1
Strutter,Kiss,1974,Strutter by Kiss,1,1,1,1
Black Mountain Side,Led Zeppelin,1969,Black Mountain Side by Led Zeppelin,1,1,1,1
Bring It On Home,Led Zeppelin,1969,Bring It On Home by Led Zeppelin,1,1,1,1
Down By The Seaside,Led Zeppelin,1975,Down By The Seaside by Led Zeppelin,1,1,1,1
For Your Life,Led Zeppelin,1976,For Your Life by Led Zeppelin,1,1,1,1
I Can't Quit You Baby,Led Zeppelin,1969,I Can't Quit You Baby by Led Zeppelin,1,1,1,1
NIGHT FLIGHT,Led Zeppelin,1975,NIGHT FLIGHT by Led Zeppelin,1,1,1,1
South Bound Saurez,Led Zeppelin,1979,South Bound Saurez by Led Zeppelin,1,1,1,1
TANGERINE,Led Zeppelin,1970,TANGERINE by Led Zeppelin,1,1,1,1
That's the Way,Led Zeppelin,1970,That's the Way by Led Zeppelin,1,1,1,1
The Crunge,Led Zeppelin,1973,The Crunge by Led Zeppelin,1,1,1,1
THE WANTON SONG,Led Zeppelin,1975,THE WANTON SONG by Led Zeppelin,1,1,1,1
Kiss Me Deadly,Lita Ford,1988,Kiss Me Deadly by Lita Ford,1,1,1,1
Sweet Jane (Live),Lou Reed,1970,Sweet Jane (Live) by Lou Reed,1,1,1,1
TWO OUT OF THREE AIN'T BAD,Meat Loaf,1977,TWO OUT OF THREE AIN'T BAD by Meat Loaf,1,1,1,1
I'm the Only One,Melissa Etheridge,1993,I'm the Only One by Melissa Etheridge,1,1,1,1
For Whom The Bell Tolls,Metallica,1984,For Whom The Bell Tolls by Metallica,1,1,1,1
Harvester Of Sorrow,Metallica,1988,Harvester Of Sorrow by Metallica,1,1,1,1
Hero of the Day,Metallica,1996,Hero of the Day by Metallica,1,1,1,1
No Leaf Clover,Metallica,1999,No Leaf Clover by Metallica,1,1,1,1
One,Metallica,1988,One by Metallica,1,1,1,1
Seek & Destroy,Metallica,1983,Seek & Destroy by Metallica,1,1,1,1
Devil With the Blue Dress On,Mitch Ryder,1966,Devil With the Blue Dress On by Mitch Ryder,1,1,1,1
Space Station #5,Montrose,1973,Space Station #5 by Montrose,1,1,1,1
Photograph,Nickelback,2005,Photograph by Nickelback,1,1,1,1
When You Close Your Eyes,Night Ranger,1983,When You Close Your Eyes by Night Ranger,1,1,1,1
Dumb,Nirvana,1993,Dumb by Nirvana,1,1,1,1
STILL THE ONE,Orleans,1976,STILL THE ONE by Orleans,1,1,1,1
Diary Of A Madman,Ozzy Osbourne,1981,Diary Of A Madman by Ozzy Osbourne,1,1,1,1
Mr. Tinkertrain,Ozzy Osbourne,1992,Mr. Tinkertrain by Ozzy Osbourne,1,1,1,1
Road To Nowhere,Ozzy Osbourne,1991,Road To Nowhere by Ozzy Osbourne,1,1,1,1
Hell Is for Children,Pat Benatar,1980,Hell Is for Children by Pat Benatar,1,1,1,1
Invincible,Pat Benatar,1985,Invincible by Pat Benatar,1,1,1,1
You Better Run,Pat Benatar,1980,You Better Run by Pat Benatar,1,1,1,1
The Back Seat Of My Car,Paul McCartney & Linda McCartney,1971,The Back Seat Of My Car by Paul McCartney & Linda McCartney,1,1,1,1
Too Many People,Paul McCartney & Linda McCartney,1971,Too Many People by Paul McCartney & Linda McCartney,1,1,1,1
Let Me Roll It,Paul McCartney & Wings,1973,Let Me Roll It by Paul McCartney & Wings,1,1,1,1
My Love,Paul McCartney & Wings,1973,My Love by Paul McCartney & Wings,1,1,1,1
50 Ways to Leave Your Lover,Paul Simon,1975,50 Ways to Leave Your Lover by Paul Simon,1,1,1,1
Loves Me Like a Rock,Paul Simon,1973,Loves Me Like a Rock by Paul Simon,1,1,1,1
You Can Call Me Al,Paul Simon,1986,You Can Call Me Al by Paul Simon,1,1,1,1
Not for You,Pearl Jam,1994,Not for You by Pearl Jam,1,1,1,1
Arnold Layne,Pink Floyd,1967,Arnold Layne by Pink Floyd,1,1,1,1
Dogs,Pink Floyd,1977,Dogs by Pink Floyd,1,1,1,1
One Slip,Pink Floyd,1987,One Slip by Pink Floyd,1,1,1,1
See Emily Play,Pink Floyd,1967,See Emily Play by Pink Floyd,1,1,1,1
Set The Controls For The Heart Of The Sun,Pink Floyd,1968,Set The Controls For The Heart Of The Sun by Pink Floyd,1,1,1,1
Take It Back,Pink Floyd,1994,Take It Back by Pink Floyd,1,1,1,1
Time/Gig in The Sky,Pink Floyd,1973,Time/Gig in The Sky by Pink Floyd,1,1,1,1
Something To Believe In,Poison,1990,Something To Believe In by Poison,1,1,1,1
Talk Dirty To Me,Poison,1987,Talk Dirty To Me by Poison,1,1,1,1
A Salty Dog,Procol Harum,1969,A Salty Dog by Procol Harum,1,1,1,1
Blurry,Puddle of Mudd,2001,Blurry by Puddle of Mudd,1,1,1,1
One Vision,Queen,1985,One Vision by Queen,1,1,1,1
THESE ARE THE DAYS OF OUR LI,Queen,1991,THESE ARE THE DAYS OF OUR LI by Queen,1,1,1,1
No One Knows,Queens of the Stone Age,2002,No One Knows by Queens of the Stone Age,1,1,1,1
Breaking the Girl,Red Hot Chili Peppers,1992,Breaking the Girl by Red Hot Chili Peppers,1,1,1,1
By the Way,Red Hot Chili Peppers,2002,By the Way by Red Hot Chili Peppers,1,1,1,1
Early 1970 [*],Ringo Starr,1971,Early 1970 [*] by Ringo Starr,1,1,1,1
Simply Irresistible,Robert Palmer,1988,Simply Irresistible by Robert Palmer,1,1,1,1
You're In My Heart (The Final Acclaim),Rod Stewart,1977,You're In My Heart (The Final Acclaim) by Rod Stewart,1,1,1,1
The Logical Song,Roger Hodgson,1979,The Logical Song by Roger Hodgson,1,1,1,1
19th Nervous Breakdown,Rolling Stones,1966,19th Nervous Breakdown by Rolling Stones,1,1,1,1
Almost Hear You Sigh,Rolling Stones,1989,Almost Hear You Sigh by Rolling Stones,1,1,1,1
Dance Little Sister,Rolling Stones,1980,Dance Little Sister by Rolling Stones,1,1,1,1
Doom And Gloom,Rolling Stones,2012,Doom And Gloom by Rolling Stones,1,1,1,1
Emotional Rescue,Rolling Stones,1980,Emotional Rescue by Rolling Stones,1,1,1,1
Get Off My Cloud,Rolling Stones,1965,Get Off My Cloud by Rolling Stones,1,1,1,1
IT'S ALL OVER NOW,Rolling Stones,1964,IT'S ALL OVER NOW by Rolling Stones,1,1,1,1
Let It Bleed,Rolling Stones,1969,Let It Bleed by Rolling Stones,1,1,1,1
She's a Rainbow,Rolling Stones,1967,She's a Rainbow by Rolling Stones,1,1,1,1
THE SPIDER AND THE FLY,Rolling Stones,1965,THE SPIDER AND THE FLY by Rolling Stones,1,1,1,1
Time Waits for No One,Rolling Stones,1975,Time Waits for No One by Rolling Stones,1,1,1,1
UNDERCOVER OF THE NIGHT,Rolling Stones,1983,UNDERCOVER OF THE NIGHT by Rolling Stones,1,1,1,1
YOU GOT THE SILVER,Rolling Stones,1969,YOU GOT THE SILVER by Rolling Stones,1,1,1,1
YOU GOTTA MOVE,Rolling Stones,1971,YOU GOTTA MOVE by Rolling Stones,1,1,1,1
The Trees,Rush,1978,The Trees by Rush,1,1,1,1
Time Stand Still (live),Rush,1987,Time Stand Still (live) by Rush,1,1,1,1
Jingo,Santana,1969,Jingo by Santana,1,1,1,1
Remedy,Seether,2005,Remedy by Seether,1,1,1,1
America,Simon & Garfunkel,1968,America by Simon & Garfunkel,1,1,1,1
Fly To The Angels,Slaughter,1990,Fly To The Angels by Slaughter,1,1,1,1
Bullet With Butterfly Wings,Smashing Pumpkins,1995,Bullet With Butterfly Wings by Smashing Pumpkins,1,1,1,1
Tainted Love,Soft Cell,1981,Tainted Love by Soft Cell,1,1,1,1
Burden in My Hand,Soundgarden,1996,Burden in My Hand by Soundgarden,1,1,1,1
Two Princes,Spin Doctors,1991,Two Princes by Spin Doctors,1,1,1,1
Black Coffee In Bed,Squeeze,1982,Black Coffee In Bed by Squeeze,1,1,1,1
Deacon Blues,Steely Dan,1977,Deacon Blues by Steely Dan,1,1,1,1
Dirty Work,Steely Dan,1977,Dirty Work by Steely Dan,1,1,1,1
Fm {no Static At All},Steely Dan,1978,Fm {no Static At All} by Steely Dan,1,1,1,1
Back In the High Life Again,Steve Winwood,1986,Back In the High Life Again by Steve Winwood,1,1,1,1
Roll With It,Steve Winwood,1988,Roll With It by Steve Winwood,1,1,1,1
Love The One You'Re With,Steven Stills,1971,Love The One You'Re With by Steven Stills,1,1,1,1
Fortress Around Your Heart,Sting,1985,Fortress Around Your Heart by Sting,1,1,1,1
To Hell With the Devil,Stryper,1986,To Hell With the Devil by Stryper,1,1,1,1
Love Is Like Oxygen,Sweet,1978,Love Is Like Oxygen by Sweet,1,1,1,1
Jeepster,T. Rex,1971,Jeepster by T. Rex,1,1,1,1
Head Over Heels,Tears for Fears,1985,Head Over Heels by Tears for Fears,1,1,1,1
Shout,Tears for Fears,1984,Shout by Tears for Fears,1,1,1,1
Journey to the Center of the Mind,The Amboy Dukes,1968,Journey to the Center of the Mind by The Amboy Dukes,1,1,1,1
Don't Bring Me Down,The Animals,1966,Don't Bring Me Down by The Animals,1,1,1,1
San Franciscan Nights,The Animals,1967,San Franciscan Nights by The Animals,1,1,1,1
Isn't It Time,The Babys,1977,Isn't It Time by The Babys,1,1,1,1
Chest Fever,The Band,1968,Chest Fever by The Band,1,1,1,1
Up On Cripple Creek,The Band,1969,Up On Cripple Creek by The Band,1,1,1,1
Good Vibrations,The Beach Boys,1966,Good Vibrations by The Beach Boys,1,1,1,1
Across The Universe,The Beatles,1970,Across The Universe by The Beatles,1,1,1,1
And Your Bird Can Sing,The Beatles,1966,And Your Bird Can Sing by The Beatles,1,1,1,1
ANYTIME AT ALL,The Beatles,1964,ANYTIME AT ALL by The Beatles,1,1,1,1
Baby You're A Rich Man,The Beatles,1967,Baby You're A Rich Man by The Beatles,1,1,1,1
BAD BOY,The Beatles,1965,BAD BOY by The Beatles,1,1,1,1
Cry For A Shadow,The Beatles,1961,Cry For A Shadow by The Beatles,1,1,1,1
Dear Prudence,The Beatles,1968,Dear Prudence by The Beatles,1,1,1,1
Don't Let Me Down,The Beatles,1969,Don't Let Me Down by The Beatles,1,1,1,1
Everybody's Got Something To Hide Except Me And My Monk,The Beatles,1968,Everybody's Got Something To Hide Except Me And My Monk by The Beatles,1,1,1,1
From Me To You,The Beatles,1963,From Me To You by The Beatles,1,1,1,1
Getting Better,The Beatles,1967,Getting Better by The Beatles,1,1,1,1
GIRL,The Beatles,1965,GIRL by The Beatles,1,1,1,1
Good Day Sunshine,The Beatles,1966,Good Day Sunshine by The Beatles,1,1,1,1
I'll Follow The Sun,The Beatles,1964,I'll Follow The Sun by The Beatles,1,1,1,1
I'm Down,The Beatles,1965,I'm Down by The Beatles,1,1,1,1
IT WON'T BE LONG,The Beatles,1963,IT WON'T BE LONG by The Beatles,1,1,1,1
LITTLE CHILD,The Beatles,1963,LITTLE CHILD by The Beatles,1,1,1,1
Love Me Do,The Beatles,1962,Love Me Do by The Beatles,1,1,1,1
Norwegian Wood,The Beatles,1965,Norwegian Wood by The Beatles,1,1,1,1
NOWHERE MAN,The Beatles,1965,NOWHERE MAN by The Beatles,1,1,1,1
P.s. I Love You,The Beatles,1962,P.s. I Love You by The Beatles,1,1,1,1
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1967,Sgt. Pepper's Lonely Hearts Club Band by The Beatles,1,1,1,1
SHE'S A WOMAN,The Beatles,1964,SHE'S A WOMAN by The Beatles,1,1,1,1
She's Leaving Home,The Beatles,1967,She's Leaving Home by The Beatles,1,1,1,1
Sun King,The Beatles,1969,Sun King by The Beatles,1,1,1,1
THE CONTINUING STORY OF BUNG,The Beatles,1968,THE CONTINUING STORY OF BUNG by The Beatles,1,1,1,1
The Word,The Beatles,1965,The Word by The Beatles,1,1,1,1
When I'm 64,The Beatles,1967,When I'm 64 by The Beatles,1,1,1,1
Wild Honey Pie,The Beatles,1968,Wild Honey Pie by The Beatles,1,1,1,1
You're Going To Lose That Girl,The Beatles,1965,You're Going To Lose That Girl by The Beatles,1,1,1,1
YOUR MOTHER SHOULD KNOW,The Beatles,1967,YOUR MOTHER SHOULD KNOW by The Beatles,1,1,1,1
Goodbye Daughters of the Revolution,The Black Crowes,2008,Goodbye Daughters of the Revolution by The Black Crowes,1,1,1,1
"Another Park, Another Sunday",The Doobie Brothers,1974,"Another Park, Another Sunday by The Doobie Brothers",1,1,1,1
Takin' It To The Streets,The Doobie Brothers,1976,Takin' It To The Streets by The Doobie Brothers,1,1,1,1
The Changeling,The Doors,1971,The Changeling by The Doors,1,1,1,1
When the Music's Over,The Doors,1967,When the Music's Over by The Doors,1,1,1,1
